,IDs,Title,Abstract
0,2-s2.0-85127375931,MR volumetry in detection of brain atrophic changes in MS patients and its implication on disease prognosis: retrospective study,
1,2-s2.0-85124238043,Neuroradiological differentiation of white matter lesions in patients with multiple sclerosis and Fabry disease,
2,2-s2.0-85125650520,Ceramide kinase knockout ameliorates multiple sclerosis-like behaviors and demyelination in cuprizone-treated mice,
3,2-s2.0-85124555237,Expanding the phenotype of HNRNPU-related neurodevelopmental disorder with emphasis on seizure phenotype and review of literature,
4,2-s2.0-85116499252,"Correlations between hippocampal functional connectivity, structural changes, and clinical data in patients with relapsing-remitting multiple sclerosis: A case-control study using multimodal magnetic resonance imaging",
5,2-s2.0-85123731842,Abnormal oxidative metabolism in the cuprizone mouse model of demyelination: An in vivo NIRS-MRI study,
6,2-s2.0-85126910627,Development of a Chemical Cocktail That Rescues Mouse Brain Demyelination in a Cuprizone-Induced Model,
7,2-s2.0-85124043337,Locomotor and histological changes in a cuprizone-induced animal model of multiple sclerosis: Comparison between alpha-tocopherol and fingolimod,
8,2-s2.0-85118626969,Adult-onset vanishing white matter in a patient with EIF2B3 variants misdiagnosed as multiple sclerosis,
9,2-s2.0-85112643233,An in vivo implementation of the MEX MRI for myelin fraction of mice brain,
10,2-s2.0-85112577145,Functional and structural MRI correlates of executive functions in multiple sclerosis,
11,2-s2.0-85112329645,White matter microstructural differences in children and genetic risk for multiple sclerosis: A population-based study,
12,2-s2.0-85112321703,"Volume changes of thalamus, hippocampus and cerebellum are associated with specific CSF profile in MS",
13,2-s2.0-85127886516,Rapid parameter estimation for selective inversion recovery myelin imaging using an open-source Julia toolkit,
14,2-s2.0-85127975049,Editorial: Bioinformatic Tools for the Detection and Identification of Mechanisms in Immune Cells of Neuroimmunological Diseases,
15,2-s2.0-85127942631,Clemastine Induces an Impairment in Developmental Myelination,
16,2-s2.0-85126785569,Diffusion Tensor Imaging Revealed Microstructural Changes in Normal-Appearing White Matter Regions in Relapsing–Remitting Multiple Sclerosis,
17,2-s2.0-85127520222,An Equivocal SCC Lesion—Antiepileptic-Induced CLOCC,
18,2-s2.0-85123479956,A major role for adenosine A<inf>2A</inf> receptor in the interaction between astrocytes and myelinated neurons: possible implications for the therapy of neurodegenerative disorders,
19,2-s2.0-85123220024,"Two-dimensional measurements with cut-off values are useful for assessing brain volume, physical disability, and processing speed in multiple sclerosis",
20,2-s2.0-85119426178,Multiple sclerosis impairment scale and brain MRI in secondary progressive multiple sclerosis,
21,2-s2.0-85112446984,The clinical and paraclinical correlates of employment status in multiple sclerosis,
22,2-s2.0-85112332412,Oligodendrocyte pathology in fetal alcohol spectrum disorders,
23,2-s2.0-85110426607,Neurite orientation dispersion and density imaging discloses early changes in the normal-appearing white matter in paediatric multiple sclerosis,
24,2-s2.0-85108335792,Characterization of multiple sclerosis neuroinflammation and neurodegeneration with relaxation and diffusion basis spectrum imaging,
25,2-s2.0-85124939482,Mitochondrial Neurodegeneration,
26,2-s2.0-85123230290,Ponesimod inhibits astrocyte-mediated neuroinflammation and protects against cingulum demyelination via S1P<inf>1</inf>-selective modulation,
27,2-s2.0-85121132301,Perivascular space is associated with brain atrophy in patients with multiple sclerosis,
28,2-s2.0-85121115247,C1q inhibits differentiation of oligodendrocyte progenitor cells via Wnt/β-catenin signaling activation in a cuprizone-induced mouse model of multiple sclerosis,
29,2-s2.0-85119279000,Quantification of normal-appearing white matter damage in early relapse-onset multiple sclerosis through neurite orientation dispersion and density imaging,
30,2-s2.0-85117606240,N-myc downstream regulated family member 1 (NDRG1) is enriched in myelinating oligodendrocytes and impacts myelin degradation in response to demyelination,
31,2-s2.0-85114623591,"Effects of exercise training with Lactobacillus plantarum intake on ionized calcium-binding adaptor molecule 1, glial fibrillary acidic protein, interleukin-6 and interleukin-1β in cuprizone-induced demyelination mouse model of multiple sclerosis",
32,2-s2.0-85106728764,"Contrasting the brain imaging features of MOG-antibody disease, with AQP4-antibody NMOSD and multiple sclerosis",
33,2-s2.0-85123376356,Smoothened/AMP-Activated Protein Kinase Signaling in Oligodendroglial Cell Maturation,
34,2-s2.0-85128018921,Mouse models of immune dysfunction: their neuroanatomical differences reflect their anxiety-behavioural phenotype,
35,2-s2.0-85127772888,Advanced diffusion-weighted imaging models better characterize white matter neurodegeneration and clinical outcomes in multiple sclerosis,
36,2-s2.0-85127672245,Brain atrophy patterns in multiple sclerosis patients treated with natalizumab and its clinical correlates,
37,2-s2.0-85127612185,Astroglial and oligodendroglial markers in the cuprizone animal model for de- and remyelination,
38,2-s2.0-85127444613,Phenytoin promotes the proliferation of oligodendrocytes and enhances the expression of myelin basic protein in the corpus callosum of mice demyelinated by cuprizone,
39,2-s2.0-85126901294,Neuroprotective Effects and Amelioration of Ethyl Esters form of Fish Oil Supplementation in Neuroinflammation in a Mouse Model of Cuprizone-Induced Demyelination,
40,2-s2.0-85126388947,Tumefactive Demyelinating Brain Lesion Developing after Administration of Adenovector-Based COVID-19 Vaccine: A Case Report,
41,2-s2.0-85126210707,"Ermin deficiency leads to compromised myelin, inflammatory milieu, and susceptibility to demyelinating insult",
42,2-s2.0-85125780810,Quantitative MRI findings indicate diffuse white matter damage in Susac Syndrome,
43,2-s2.0-85124759382,Deformation-based morphometry identifies deep brain structures protected by ocrelizumab,
44,2-s2.0-85124713998,Cortical and white matter lesion topology influences focal corpus callosum atrophy in multiple sclerosis,
45,2-s2.0-85123952085,Bridging the callosal gap in gait: corpus callosum white matter integrity’s role in lower limb coordination,
46,2-s2.0-85123723211,Automatic deep learning multicontrast corpus callosum segmentation in multiple sclerosis,
47,2-s2.0-85123654709,Corpus callosum volumetrics and clinical progression in early multiple sclerosis,
48,2-s2.0-85123323986,Longitudinal Imaging of T Cells and Inflammatory Demyelination in a Preclinical Model of Multiple Sclerosis Using <sup>18</sup>F-FAraG PET and MRI,
49,2-s2.0-85122408212,Usefulness of two-dimensional measurements for the evaluation of brain volume and disability in multiple sclerosis,
50,2-s2.0-85120895101,Connection between microstructural alterations detected by diffusion MRI and cognitive dysfunction in MS: A model-free analysis approach,
51,2-s2.0-85120863890,Brain Plasticity in fMRI and DTI,
